Index,Time(ns)
1359000,4190
1360000,2793
1361000,3073
1362000,3073
1363000,2793
1364000,2793
1365000,3353
1366000,2794
1367000,4470
1368000,3073
1369000,2793
1370000,2515
1371000,2514
1372000,3073
1373000,2515
1374000,3073
1375000,5308
1376000,3073
1377000,3352
1378000,3073
1379000,2794
1380000,2794
1381000,2794
1382000,2794
1383000,2793
1384000,3352
1385000,2794
1386000,2235
1387000,3073
1388000,2794
1389000,2793
1390000,3073
1391000,3911
1392000,2793
1393000,3073
1394000,2514
1395000,2794
1396000,2794
1397000,3073
1398000,2514
1399000,2793
1400000,2514
1401000,2794
1402000,3073
1403000,2794
1404000,4470
1405000,2515
1406000,2514
1407000,2794
1408000,2794
1409000,3073
1410000,3073
1411000,3073
1412000,2794
1413000,2514
1414000,2514
1415000,3352
1416000,3353
1417000,3353
1418000,5029
1419000,3073
1420000,2514
1421000,2793
1422000,2794
1423000,2794
1424000,2794
1425000,3353
1426000,2515
1427000,2793
1428000,3073
1429000,2794
1430000,2514
1431000,2793
1432000,3073
1433000,2794
1434000,2794
1435000,3073
1436000,2793
1437000,2794
1438000,2514
1439000,2793
1440000,2794
1441000,3352
1442000,3352
1443000,2794
1444000,2515
1445000,2794
1446000,3353
1447000,2794
1448000,2514
1449000,3353
1450000,3073
1451000,2514
1452000,2793
1453000,2515
1454000,2794
1455000,2794
1456000,2794
1457000,2515
1458000,2793
1459000,3073
1460000,3353
1461000,3073
1462000,2515
1463000,2794
1464000,3073
1465000,2794
1466000,2794
1467000,3352
1468000,2514
1469000,2793
1470000,3911
1471000,3073
1472000,2793
1473000,3073
1474000,2793
1475000,2794
1476000,2794
1477000,5028
1478000,2235
1479000,3353
1480000,3352
1481000,2794
1482000,2235
1483000,3073
1484000,2794
1485000,2235
1486000,3073
1487000,2793
1488000,2514
1489000,3353
1490000,3912
1491000,3073
1492000,2793
1493000,3073
1494000,2514
1495000,2515
1496000,2514
1497000,2794
1498000,3073
1499000,2514
1500000,2515
1501000,2794
1502000,2794
1503000,2514
1504000,2235
1505000,2793
1506000,3073
1507000,2793
1508000,3353
1509000,2793
1510000,3073
1511000,2793
1512000,2514
1513000,2514
1514000,2794
1515000,3073
1516000,2793
1517000,2794
1518000,3073
1519000,3073
1520000,3073
1521000,3352
1522000,2515
1523000,3073
1524000,3073
1525000,2794
1526000,2794
1527000,2794
1528000,2794
1529000,2515
1530000,2515
1531000,2514
1532000,2793
1533000,2794
1534000,2794
1535000,2793
1536000,3073
1537000,2793
1538000,2515
1539000,2794
1540000,3073
1541000,2793
1542000,2794
1543000,2793
1544000,2514
1545000,2794
1546000,2794
1547000,3352
1548000,3073
1549000,3911
1550000,2794
1551000,3073
1552000,2793
1553000,3911
1554000,3073
1555000,2515
1556000,3352
1557000,3073
1558000,2794
1559000,3073
1560000,3352
1561000,3073
1562000,2515
1563000,3352
1564000,3073
1565000,2515
1566000,2793
1567000,3073
1568000,2794
1569000,2793
1570000,2514
1571000,2794
1572000,3352
1573000,3352
1574000,2794
1575000,3353
1576000,3073
1577000,3074
1578000,2793
1579000,2794
1580000,3073
1581000,3073
1582000,3073
1583000,2794
1584000,2514
1585000,3073
1586000,2514
1587000,3073
1588000,2514
1589000,2794
1590000,2793
1591000,3074
1592000,2794
1593000,2793
1594000,2794
1595000,3353
1596000,3352
1597000,3073
1598000,2794
1599000,3911
1600000,3073
1601000,2794
1602000,2514
1603000,2515
1604000,3073
1605000,3073
1606000,2514
1607000,2234
1608000,3352
1609000,2794
1610000,2514
1611000,3073
1612000,2793
1613000,3073
1614000,4470
1615000,3352
1616000,2514
1617000,3073
1618000,2514
1619000,3073
1620000,2515
1621000,3353
1622000,2793
1623000,3353
1624000,2794
1625000,2793
1626000,2794
1627000,3353
1628000,2794
1629000,2794
1630000,3073
1631000,6704
1632000,3353
1633000,2793
1634000,2794
1635000,2794
1636000,4191
1637000,2514
1638000,3073
1639000,2514
1640000,3352
1641000,3073
1642000,3073
1643000,3073
1644000,2794
1645000,2514
1646000,3073
1647000,2794
1648000,2794
1649000,2794
1650000,2793
1651000,2793
1652000,3352
1653000,3073
1654000,3352
1655000,2794
1656000,3073
1657000,2235
1658000,3073
1659000,2793
1660000,3073
1661000,3073
1662000,2794
1663000,2514
1664000,2515
1665000,3073
1666000,2794
1667000,2514
1668000,2794
1669000,3353
1670000,2794
1671000,3073
1672000,3073
1673000,4191
1674000,3352
1675000,2794
1676000,3632
1677000,3073
1678000,3353
1679000,2514
1680000,3073
1681000,2235
1682000,2794
1683000,2793
1684000,3352
1685000,4190
1686000,2793
1687000,2514
1688000,2794
1689000,3073
1690000,2794
1691000,2794
1692000,2794
1693000,3073
1694000,2235
1695000,2793
1696000,1956
1697000,4470
1698000,2794
1699000,2794
1700000,2794
1701000,2794
1702000,4191
1703000,3352
1704000,2793
1705000,3073
1706000,2793
1707000,3352
1708000,3352
1709000,2515
1710000,2794
1711000,2794
1712000,3073
1713000,2514
1714000,2794
1715000,3074
1716000,2793
1717000,2794
1718000,3353
1719000,2794
1720000,2794
1721000,3352
1722000,2794
1723000,2794
1724000,2794
1725000,3073
1726000,3073
1727000,2794
1728000,2794
1729000,3073
1730000,2514
1731000,2793
1732000,3073
1733000,3352
1734000,2514
1735000,2794
1736000,2793
1737000,2794
1738000,3352
1739000,2794
1740000,2794
1741000,3073
1742000,3073
1743000,3073
1744000,2794
1745000,2794
1746000,3631
1747000,2515
1748000,3074
1749000,3352
1750000,2794
1751000,3073
1752000,4749
1753000,3632
1754000,2794
1755000,2794
1756000,3073
1757000,3073
1758000,3073
1759000,3073
1760000,3352
1761000,2794
1762000,3073
1763000,3073
1764000,2794
1765000,2515
1766000,3073
1767000,3352
1768000,2793
1769000,3073
1770000,3073
1771000,4191
1772000,2514
1773000,2515
1774000,3352
1775000,3073
1776000,4750
1777000,2793
1778000,3073
1779000,3073
1780000,3073
1781000,3073
1782000,2514
1783000,3353
1784000,3073
1785000,3073
1786000,2515
1787000,3632
1788000,3352
1789000,2794
1790000,2515
1791000,3352
1792000,2235
1793000,2514
1794000,2794
1795000,3073
1796000,2515
1797000,2794
1798000,2794
1799000,14248
1800000,2514
1801000,2794
1802000,3073
1803000,3352
1804000,2514
1805000,2514
1806000,3073
1807000,3073
1808000,3073
1809000,3073
1810000,2793
1811000,2515
1812000,3352
1813000,2794
1814000,2793
1815000,3073
1816000,2794
1817000,2514
1818000,2794
1819000,2794
1820000,5308
1821000,2514
1822000,2794
1823000,3073
1824000,2794
1825000,3073
1826000,3073
1827000,3073
1828000,3073
1829000,3631
1830000,3073
1831000,2794
1832000,3073
1833000,3073
1834000,3352
1835000,2515
1836000,3073
1837000,3073
1838000,2793
1839000,2514
1840000,2794
1841000,3073
1842000,2794
1843000,2794
1844000,3073
1845000,2514
1846000,2514
1847000,3353
1848000,3352
1849000,2514
1850000,3073
1851000,3073
1852000,2794
1853000,2794
1854000,3073
1855000,2794
1856000,3632
1857000,2794
1858000,2794
1859000,3073
1860000,2514
1861000,2793
1862000,2514
1863000,2515
1864000,2794
1865000,3074
1866000,2793
1867000,2235
1868000,3073
1869000,3073
1870000,3073
1871000,3352
1872000,3073
1873000,2793
1874000,2793
1875000,2793
1876000,3073
1877000,2794
1878000,2793
1879000,3352
1880000,3352
1881000,2514
1882000,3073
1883000,2794
1884000,2794
1885000,3352
1886000,3632
1887000,2793
1888000,2793
1889000,3073
1890000,3073
1891000,2235
1892000,2235
1893000,2794
1894000,2793
1895000,2793
1896000,2794
1897000,5029
1898000,3073
1899000,2235
1900000,2515
1901000,3353
1902000,3073
1903000,3352
1904000,2793
1905000,2515
1906000,2514
1907000,2794
1908000,3073
1909000,3073
1910000,2794
1911000,2794
1912000,2515
1913000,2794
1914000,2794
1915000,2794
1916000,5308
1917000,2514
1918000,3073
1919000,2794
1920000,2794
1921000,3073
1922000,3073
1923000,2793
1924000,2793
1925000,3352
1926000,3352
1927000,3353
1928000,3073
1929000,2794
1930000,2514
1931000,2794
1932000,3073
1933000,3073
1934000,2794
1935000,3352
1936000,2793
1937000,30450
1938000,2514
1939000,2793
1940000,3073
1941000,3073
1942000,3352
1943000,2793
1944000,2515
1945000,2794
1946000,3073
1947000,3073
1948000,3073
1949000,2235
1950000,2793
1951000,2794
1952000,2514
1953000,2234
1954000,3073
1955000,2794
1956000,2514
1957000,3911
1958000,3073
1959000,2794
1960000,2514
1961000,2794
1962000,2793
1963000,3632
1964000,2794
1965000,3073
1966000,3073
1967000,3073
1968000,3073
1969000,4190
1970000,2515
1971000,2794
1972000,3073
1973000,3073
1974000,3073
1975000,3073
1976000,2794
1977000,2514
1978000,2794
1979000,3073
1980000,3073
1981000,4749
1982000,3073
1983000,2793
1984000,2514
1985000,3073
1986000,3073
1987000,3352
1988000,3073
1989000,2793
1990000,3073
1991000,2514
1992000,2235
1993000,3352
1994000,3353
1995000,2794
1996000,3073
1997000,2794
1998000,3073
1999000,3073
2000000,3073
2001000,2793
2002000,2794
2003000,2794
2004000,2794
2005000,2794
2006000,2514
2007000,3353
2008000,2514
